route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
Q64,BPPB4-BP_B4-Weekday-02,39591231-BPPB4-BP_B4-Weekday-02,"FOREST HILLS 71 AV STA via JEWEL AV via 69 RD",1,7368957,Q640095
Q64,BPPB4-BP_B4-Weekday-02,39591232-BPPB4-BP_B4-Weekday-02,"ELECTCHESTER 164 ST via JEWEL AV",0,7368957,Q640096
Q64,BPPB4-BP_B4-Weekday-02,39591233-BPPB4-BP_B4-Weekday-02,"FOREST HILLS 71 AV STA via JEWEL AV via 69 RD",1,7368957,Q640095
Q64,BPPB4-BP_B4-Weekday-02,39591234-BPPB4-BP_B4-Weekday-02,"ELECTCHESTER 164 ST via JEWEL AV",0,7368957,Q640096
Q64,BPPB4-BP_B4-Weekday-02,39591235-BPPB4-BP_B4-Weekday-02,"FOREST HILLS 71 AV STA via JEWEL AV via 69 RD",1,7368957,Q640095
Q64,BPPB4-BP_B4-Weekday-02,39591236-BPPB4-BP_B4-Weekday-02,"ELECTCHESTER 164 ST via JEWEL AV",0,7368957,Q640096
Q64,BPPB4-BP_B4-Weekday-02,39591237-BPPB4-BP_B4-Weekday-02,"FOREST HILLS 71 AV STA via JEWEL AV via 69 RD",1,7368957,Q640095
Q64,BPPB4-BP_B4-Weekday-02,39591238-BPPB4-BP_B4-Weekday-02,"ELECTCHESTER 164 ST via JEWEL AV",0,7368957,Q640096
Q64,BPPB4-BP_B4-Weekday-02,39591239-BPPB4-BP_B4-Weekday-02,"FOREST HILLS 71 AV STA via JEWEL AV via 69 RD",1,7368957,Q640095
Q64,BPPB4-BP_B4-Weekday-02,39591240-BPPB4-BP_B4-Weekday-02,"ELECTCHESTER 164 ST via JEWEL AV",0,7368957,Q640096
Q64,BPPB4-BP_B4-Weekday-02,39591241-BPPB4-BP_B4-Weekday-02,"FOREST HILLS 71 AV STA via JEWEL AV via 69 RD",1,7368957,Q640095
Q64,BPPB4-BP_B4-Weekday-02,39591242-BPPB4-BP_B4-Weekday-02,"ELECTCHESTER 164 ST via JEWEL AV",0,7368957,Q640096
Q64,BPPB4-BP_B4-Weekday-02,39591243-BPPB4-BP_B4-Weekday-02,"FOREST HILLS 71 AV STA via JEWEL AV via 69 RD",1,7368957,Q640095
Q64,BPPB4-BP_B4-Weekday-02,39591244-BPPB4-BP_B4-Weekday-02,"ELECTCHESTER 164 ST via JEWEL AV",0,7368957,Q640096
Q64,BPPB4-BP_B4-Weekday-02,39591245-BPPB4-BP_B4-Weekday-02,"FOREST HILLS 71 AV STA via JEWEL AV via 69 RD",1,7368957,Q640095
Q64,BPPB4-BP_B4-Weekday-02,39591247-BPPB4-BP_B4-Weekday-02,"FOREST HILLS 71 AV STA via JEWEL AV via 69 RD",1,7368957,Q640098
Q64,BPPB4-BP_B4-Weekday-02,39591249-BPPB4-BP_B4-Weekday-02,"FOREST HILLS 71 AV STA via JEWEL AV via 69 RD",1,7368957,Q640098
Q64,BPPB4-BP_B4-Weekday-02,39591250-BPPB4-BP_B4-Weekday-02,"ELECTCHESTER 164 ST via JEWEL AV",0,7368957,Q640096
Q64,BPPB4-BP_B4-Weekday-02,39591251-BPPB4-BP_B4-Weekday-02,"FOREST HILLS 71 AV STA via JEWEL AV via 69 RD",1,7368957,Q640095
Q64,BPPB4-BP_B4-Weekday-02,39591253-BPPB4-BP_B4-Weekday-02,"ELECTCHESTER 164 ST via JEWEL AV",0,7369160,Q640096
Q64,BPPB4-BP_B4-Weekday-02,39591254-BPPB4-BP_B4-Weekday-02,"ELECTCHESTER 164 ST via JEWEL AV",0,7369160,Q640096
Q64,BPPB4-BP_B4-Weekday-02,39591255-BPPB4-BP_B4-Weekday-02,"FOREST HILLS 71 AV STA via JEWEL AV via 69 RD",1,7369160,Q640095
Q64,BPPB4-BP_B4-Weekday-02,39591256-BPPB4-BP_B4-Weekday-02,"ELECTCHESTER 164 ST via JEWEL AV",0,7369174,Q640096
Q64,BPPB4-BP_B4-Weekday-02,39591257-BPPB4-BP_B4-Weekday-02,"ELECTCHESTER 164 ST via JEWEL AV",0,7369174,Q640096
Q64,BPPB4-BP_B4-Weekday-02,39591258-BPPB4-BP_B4-Weekday-02,"ELECTCHESTER 164 ST via JEWEL AV",0,7369174,Q640096
Q64,BPPB4-BP_B4-Weekday-02,39591259-BPPB4-BP_B4-Weekday-02,"FOREST HILLS 71 AV STA via JEWEL AV via 69 RD",1,7369174,Q640095
Q64,BPPB4-BP_B4-Weekday-02,39591260-BPPB4-BP_B4-Weekday-02,"ELECTCHESTER 164 ST via JEWEL AV",0,7369174,Q640096
Q64,BPPB4-BP_B4-Weekday-02,39591261-BPPB4-BP_B4-Weekday-02,"FOREST HILLS 71 AV STA via JEWEL AV via 69 RD",1,7368958,Q640095
Q64,BPPB4-BP_B4-Weekday-02,39591262-BPPB4-BP_B4-Weekday-02,"ELECTCHESTER 164 ST via JEWEL AV",0,7368958,Q640096
Q64,BPPB4-BP_B4-Weekday-02,39591263-BPPB4-BP_B4-Weekday-02,"FOREST HILLS 71 AV STA via JEWEL AV via 69 RD",1,7368958,Q640095
Q64,BPPB4-BP_B4-Weekday-02,39591264-BPPB4-BP_B4-Weekday-02,"ELECTCHESTER 164 ST via JEWEL AV",0,7368958,Q640096
Q64,BPPB4-BP_B4-Weekday-02,39591265-BPPB4-BP_B4-Weekday-02,"FOREST HILLS 71 AV STA via JEWEL AV via 69 RD",1,7368958,Q640095
Q64,BPPB4-BP_B4-Weekday-02,39591266-BPPB4-BP_B4-Weekday-02,"ELECTCHESTER 164 ST via JEWEL AV",0,7368958,Q640096
Q64,BPPB4-BP_B4-Weekday-02,39591267-BPPB4-BP_B4-Weekday-02,"FOREST HILLS 71 AV STA via JEWEL AV via 69 RD",1,7368958,Q640095
Q64,BPPB4-BP_B4-Weekday-02,39591268-BPPB4-BP_B4-Weekday-02,"ELECTCHESTER 164 ST via JEWEL AV",0,7368958,Q640096
Q64,BPPB4-BP_B4-Weekday-02,39591269-BPPB4-BP_B4-Weekday-02,"FOREST HILLS 71 AV STA via JEWEL AV via 69 RD",1,7368958,Q640095
Q64,BPPB4-BP_B4-Weekday-02,39591270-BPPB4-BP_B4-Weekday-02,"ELECTCHESTER 164 ST via JEWEL AV",0,7368958,Q640096
Q64,BPPB4-BP_B4-Weekday-02,39591271-BPPB4-BP_B4-Weekday-02,"FOREST HILLS 71 AV STA via JEWEL AV via 69 RD",1,7368958,Q640095
Q64,BPPB4-BP_B4-Weekday-02,39591272-BPPB4-BP_B4-Weekday-02,"ELECTCHESTER 164 ST via JEWEL AV",0,7368958,Q640096
Q64,BPPB4-BP_B4-Weekday-02,39591273-BPPB4-BP_B4-Weekday-02,"FOREST HILLS 71 AV STA via JEWEL AV via 69 RD",1,7368958,Q640095
Q64,BPPB4-BP_B4-Weekday-02,39591274-BPPB4-BP_B4-Weekday-02,"ELECTCHESTER 164 ST via JEWEL AV",0,7368958,Q640096
Q64,BPPB4-BP_B4-Weekday-02,39591275-BPPB4-BP_B4-Weekday-02,"FOREST HILLS 71 AV STA via JEWEL AV via 69 RD",1,7368958,Q640095
Q64,BPPB4-BP_B4-Weekday-02,39591276-BPPB4-BP_B4-Weekday-02,"ELECTCHESTER 164 ST via JEWEL AV",0,7368958,Q640096
Q64,BPPB4-BP_B4-Weekday-02,39591277-BPPB4-BP_B4-Weekday-02,"FOREST HILLS 71 AV STA via JEWEL AV via 69 RD",1,7368958,Q640095
Q64,BPPB4-BP_B4-Weekday-02,39591278-BPPB4-BP_B4-Weekday-02,"ELECTCHESTER 164 ST via JEWEL AV",0,7368958,Q640096
Q64,BPPB4-BP_B4-Weekday-02,39591279-BPPB4-BP_B4-Weekday-02,"FOREST HILLS 71 AV STA via JEWEL AV via 69 RD",1,7368958,Q640095
Q64,BPPB4-BP_B4-Weekday-02,39591281-BPPB4-BP_B4-Weekday-02,"ELECTCHESTER 164 ST via JEWEL AV",0,7369148,Q640096
Q64,BPPB4-BP_B4-Weekday-02,39591282-BPPB4-BP_B4-Weekday-02,"ELECTCHESTER 164 ST via JEWEL AV",0,7369172,Q640096
Q64,BPPB4-BP_B4-Weekday-02,39591283-BPPB4-BP_B4-Weekday-02,"FOREST HILLS 71 AV STA via JEWEL AV via 69 RD",1,7369172,Q640095
Q64,BPPB4-BP_B4-Weekday-02,39591284-BPPB4-BP_B4-Weekday-02,"ELECTCHESTER 164 ST via JEWEL AV",0,7369172,Q640096
Q64,BPPB4-BP_B4-Weekday-02,39591285-BPPB4-BP_B4-Weekday-02,"FOREST HILLS 71 AV STA via JEWEL AV via 69 RD",1,7369172,Q640095
Q64,BPPB4-BP_B4-Weekday-02,39591286-BPPB4-BP_B4-Weekday-02,"ELECTCHESTER 164 ST via JEWEL AV",0,7369172,Q640096
Q64,BPPB4-BP_B4-Weekday-02,39591287-BPPB4-BP_B4-Weekday-02,"ELECTCHESTER 164 ST via JEWEL AV",0,7369172,Q640096
Q64,BPPB4-BP_B4-Weekday-02,39591288-BPPB4-BP_B4-Weekday-02,"FOREST HILLS 71 AV STA via JEWEL AV via 69 RD",1,7369141,Q640095
Q64,BPPB4-BP_B4-Weekday-02,39591289-BPPB4-BP_B4-Weekday-02,"ELECTCHESTER 164 ST via JEWEL AV",0,7369141,Q640096
Q64,BPPB4-BP_B4-Weekday-02,39591290-BPPB4-BP_B4-Weekday-02,"FOREST HILLS 71 AV STA via JEWEL AV via 69 RD",1,7369148,Q640095
Q64,BPPB4-BP_B4-Weekday-02,39591291-BPPB4-BP_B4-Weekday-02,"ELECTCHESTER 164 ST via JEWEL AV",0,7369148,Q640096
Q64,BPPB4-BP_B4-Weekday-02,39591292-BPPB4-BP_B4-Weekday-02,"FOREST HILLS 71 AV STA via JEWEL AV via 69 RD",1,7369148,Q640095
Q64,BPPB4-BP_B4-Weekday-02,39591293-BPPB4-BP_B4-Weekday-02,"ELECTCHESTER 164 ST via JEWEL AV",0,7369148,Q640096
Q64,BPPB4-BP_B4-Weekday-02,39591294-BPPB4-BP_B4-Weekday-02,"FOREST HILLS 71 AV STA via JEWEL AV via 69 RD",1,7369148,Q640095
Q64,BPPB4-BP_B4-Weekday-02,39591295-BPPB4-BP_B4-Weekday-02,"ELECTCHESTER 164 ST via JEWEL AV",0,7369148,Q640096
Q64,BPPB4-BP_B4-Weekday-02,39591296-BPPB4-BP_B4-Weekday-02,"FOREST HILLS 71 AV STA via JEWEL AV via 69 RD",1,7369148,Q640095
Q64,BPPB4-BP_B4-Weekday-02,39591297-BPPB4-BP_B4-Weekday-02,"ELECTCHESTER 164 ST via JEWEL AV",0,7369148,Q640096
Q64,BPPB4-BP_B4-Weekday-02,39591298-BPPB4-BP_B4-Weekday-02,"FOREST HILLS 71 AV STA via JEWEL AV via 69 RD",1,7369148,Q640095
Q64,BPPB4-BP_B4-Weekday-02,39591299-BPPB4-BP_B4-Weekday-02,"ELECTCHESTER 164 ST via JEWEL AV",0,7369148,Q640096
Q64,BPPB4-BP_B4-Weekday-02,39591300-BPPB4-BP_B4-Weekday-02,"FOREST HILLS 71 AV STA via JEWEL AV via 69 RD",1,7369091,Q640095
Q64,BPPB4-BP_B4-Weekday-02,39591301-BPPB4-BP_B4-Weekday-02,"ELECTCHESTER 164 ST via JEWEL AV",0,7369091,Q640096
Q64,BPPB4-BP_B4-Weekday-02,39591302-BPPB4-BP_B4-Weekday-02,"FOREST HILLS 71 AV STA via JEWEL AV via 69 RD",1,7369091,Q640095
Q64,BPPB4-BP_B4-Weekday-02,39591303-BPPB4-BP_B4-Weekday-02,"ELECTCHESTER 164 ST via JEWEL AV",0,7369091,Q640096
Q64,BPPB4-BP_B4-Weekday-02,39591304-BPPB4-BP_B4-Weekday-02,"FOREST HILLS 71 AV STA via JEWEL AV via 69 RD",1,7369120,Q640095
Q64,BPPB4-BP_B4-Weekday-02,39591305-BPPB4-BP_B4-Weekday-02,"ELECTCHESTER 164 ST via JEWEL AV",0,7369120,Q640096
Q64,BPPB4-BP_B4-Weekday-02,39591306-BPPB4-BP_B4-Weekday-02,"FOREST HILLS 71 AV STA via JEWEL AV via 69 RD",1,7369120,Q640095
