route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
M66,MQ_B4-Weekday,MQ_B4-Weekday-030000_M66_501,LINCOLN CENTER WEST END AV CROSSTOWN,1,35386172,M660076
M66,MQ_B4-Weekday,MQ_B4-Weekday-032000_M66_501,EAST SIDE YORK AV CROSSTOWN,0,35386172,M660002
M66,MQ_B4-Weekday,MQ_B4-Weekday-034000_M66_501,LINCOLN CENTER WEST END AV CROSSTOWN,1,35386172,M660076
M66,MQ_B4-Weekday,MQ_B4-Weekday-036700_M66_501,EAST SIDE YORK AV CROSSTOWN,0,35386172,M660002
M66,MQ_B4-Weekday,MQ_B4-Weekday-039500_M66_501,LINCOLN CENTER WEST END AV CROSSTOWN,1,35386172,M660076
M66,MQ_B4-Weekday,MQ_B4-Weekday-042300_M66_501,EAST SIDE YORK AV CROSSTOWN,0,35386172,M660002
M66,MQ_B4-Weekday,MQ_B4-Weekday-045400_M66_501,LINCOLN CENTER WEST END AV CROSSTOWN,1,35386172,M660076
M66,MQ_B4-Weekday,MQ_B4-Weekday-048400_M66_501,EAST SIDE YORK AV CROSSTOWN,0,35386172,M660002
M66,MQ_B4-Weekday,MQ_B4-Weekday-052800_M66_501,EAST SIDE YORK AV CROSSTOWN,0,35386172,M660078
M66,MQ_B4-Weekday,MQ_B4-Weekday-030000_M66_502,EAST SIDE YORK AV CROSSTOWN,0,35386173,M660002
M66,MQ_B4-Weekday,MQ_B4-Weekday-032000_M66_502,LINCOLN CENTER WEST END AV CROSSTOWN,1,35386173,M660076
M66,MQ_B4-Weekday,MQ_B4-Weekday-034000_M66_502,EAST SIDE YORK AV CROSSTOWN,0,35386173,M660002
M66,MQ_B4-Weekday,MQ_B4-Weekday-036000_M66_502,LINCOLN CENTER WEST END AV CROSSTOWN,1,35386173,M660076
M66,MQ_B4-Weekday,MQ_B4-Weekday-039100_M66_502,EAST SIDE YORK AV CROSSTOWN,0,35386173,M660002
M66,MQ_B4-Weekday,MQ_B4-Weekday-042000_M66_502,LINCOLN CENTER WEST END AV CROSSTOWN,1,35386173,M660076
M66,MQ_B4-Weekday,MQ_B4-Weekday-045000_M66_502,EAST SIDE YORK AV CROSSTOWN,0,35386173,M660002
M66,MQ_B4-Weekday,MQ_B4-Weekday-048300_M66_502,LINCOLN CENTER WEST END AV CROSSTOWN,1,35386173,M660076
M66,MQ_B4-Weekday,MQ_B4-Weekday-051200_M66_502,EAST SIDE YORK AV CROSSTOWN,0,35386173,M660002
M66,MQ_B4-Weekday,MQ_B4-Weekday-035500_M66_503,EAST SIDE YORK AV CROSSTOWN,0,35386174,M660002
M66,MQ_B4-Weekday,MQ_B4-Weekday-038000_M66_503,LINCOLN CENTER WEST END AV CROSSTOWN,1,35386174,M660076
M66,MQ_B4-Weekday,MQ_B4-Weekday-040900_M66_503,EAST SIDE YORK AV CROSSTOWN,0,35386174,M660002
M66,MQ_B4-Weekday,MQ_B4-Weekday-043800_M66_503,LINCOLN CENTER WEST END AV CROSSTOWN,1,35386174,M660076
M66,MQ_B4-Weekday,MQ_B4-Weekday-046800_M66_503,EAST SIDE YORK AV CROSSTOWN,0,35386174,M660002
M66,MQ_B4-Weekday,MQ_B4-Weekday-050300_M66_503,LINCOLN CENTER WEST END AV CROSSTOWN,1,35386174,M660076
M66,MQ_B4-Weekday,MQ_B4-Weekday-053600_M66_503,EAST SIDE YORK AV CROSSTOWN,0,35386174,M660002
M66,MQ_B4-Weekday,MQ_B4-Weekday-037900_M66_504,EAST SIDE YORK AV CROSSTOWN,0,35386175,M660002
M66,MQ_B4-Weekday,MQ_B4-Weekday-041000_M66_504,LINCOLN CENTER WEST END AV CROSSTOWN,1,35386175,M660076
M66,MQ_B4-Weekday,MQ_B4-Weekday-043500_M66_504,EAST SIDE YORK AV CROSSTOWN,0,35386175,M660002
